,questions,Answers
0,1. How many days of pond drying between two cultures is required in P. vannamei farming?,"After the final harvest of a crop, sun drying of pond bottom for 3-4 weeks is essential till it cracks or loses its moisture content. Drying and cracking of pond bottom helps in microbial decomposition of soil organic matter and mineralization of organic nutrients (nitrogen and phosphorus). If the previous culture was affected by white spot syndrome virus, it has been Adequately dried pond observed that the virus remains in the soil for 19-21days in drainable ponds whereas in case of non-drainable ponds, it remained infective for 35 days. In such cases, 5-6 weeks of drying is recommended to eradicate the pathogens. Moreover, screening of pond sediment is also essential to detect the presence of viral pathogens in such ponds. Further, investigations on duration of drying period revealed that farms practicing drying duration of 3, 5 and 10 days were affected with RMS and white gut diseases and harvested within 60 to 70 days of stocking whereas the farms that adopted a drying period of 30 and 45 days had successful harvest."
1,2. What measures need to be taken to disinfect the pond bottom in case of non-drainable ponds?,"In case of completely non-drainable ponds, the accumulated black soil in the pond bottom is flushed in the form of thin slurry using a sludge pump. Organic biodegradable piscicides like Mahua Oil Cake (100-150 ppm) or Tea Seed Cake (15-20 ppm) or chlorine @ 20 ppm can be used for elimination of unwanted organisms. Formalin or potassium permanganate or povodine iodine can also be used to kill the bacteria and external parasites as these compounds are degradable within the system and do Non-drainable pond not cause water pollution. Calcium Oxide (CaO) is recommended for enhancing the oxidation of organic matter and also is a disinfectant."
2,3. Is scraping of pond bottom essential?,"What would happen if a farmer does not do so? Organic wastes in the form of a black layer at the pond bottom is formed due to the accumulation of decayed uneaten feed, dead and decaying plankton/algae and fecal matter of shrimp during culture. This type of waste material releases toxic organic metabolites like ammonia and hydrogen sulphide into the pond water and causes stress or death to the shrimp. Therefore, Scrapping of pond bottom Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 1 this black soil layer to a level of 5-10 cm depth should be scraped and dumped away from the farm. If a farmer does not remove the black soil before starting the next crop, the possibility of having higher toxic metabolites at the pond bottom remains very high which would affect the pond environment thereby causing stress to shrimp."
3,4. Whether ploughing before and after liming is necessary?,"What type of plough should be used? The main purpose of ploughing is to expose the black soil underneath the bottom to sunlight and atmospheric oxygen. This results in the organic wastes in the pond bottom getting oxidized and making them as available nutrients. Presence of moisture in soil (i.e., under wet soil conditions) during ploughing, allows bacteria to work better in breaking down the black organic matter, thus making the ploughing process more effective. Ploughing before liming is more useful and Ploughing of pond bottom using disc plough tilling after liming could enhance the soil pH. Ploughing the bottom soil with cultivator first and thereafter with rotavator proved better for oxidation of the soil and enhanced the availability of nutrients, released obnoxious gases and decomposition was greater. Rotavator makes smaller lumps of soil which provides better oxidation and minimizes seepage."
4,5. How should one decide the disinfection dose for initial pond water?,"How should bleaching be done? Disinfection of initial water taken to the pond is essential to kill unwanted organisms, pathogens and their hosts. Otherwise there is every chance that vectors of pathogens could enter through the water. generally 20-30 ppm chlorine (600 kg of bleaching powder/ha) is used as no microbes or its hosts could survive such a chlorination dose. However, ascertaining the organic load in the source water (chlorine demand) and chlorine percentage in Disinfection of initial pond water the bleaching powder would be better indicators to decide the chlorination dose."
5,6. Does bleaching affect the efficiency of minerals present in the water during disinfection?,No. Disinfection of pond water with bleaching powder will not affect the efficiency of minerals present in the water.
6,7. Does the ground water also require disinfection?,"Disinfection is carried out to kill unwanted organisms, pathogens and their hosts. Since bore well water may not have any of these, disinfection is not required for ground water."
7,8. Do we need to apply lime after disinfecting the initial pond water to adjust the pH?,"Liming of shrimp ponds is done to neutralize soil acidity, increase the total alkalinity, total hardness concentration and enhance the primary food productivity in the pond water. When the 2 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming soil pH is below 7 and the total alkalinity is less than 60 ppm liming is required. Agricultural limestone (CaCO ) is a safe 3 product. Extra care is required if lime is applied in the form of burnt lime (CaO) and hydrated lime (calcium hydroxide. ) If they are excessively used, the pH would tend to be very high which is dangerous. To increase the pH by"
8,"0.1, we need to apply approximately 50 kg of CaO or Ca(OH) or 100 kg 2 of CaCO If the soil pH is more than 7 and the total alkalinity Liming of pond bottom 3. more than 60 ppm application of lime is not necessary. In case of slight adjustment of pH during pre-stocking preparations, dolomite (calcium and magnesium carbonate) can be used this would help in plankton development. In low saline waters, liming can improve phosphorus availability and enhance the pond productivity. 9. Is aeration before stocking is necessary?","Farmers apply fermented organic juice for the development of phytoplankton and minerals in case of low saline cultures to keep the optimum mineral requirements. In order to mix these uniformly throughout the pond, minimum aeration is required with at least 2 paddle wheel aerators at the corners of the pond. Paddle wheel aerator"
9,10. How does application of fermented juice help in improving the water quality?,"Application of fermented juice enhances the population of beneficial bacteria. The bacteria require protein for its metabolic activity and the protein is synthesized by using the ammoniacal nitrogen present in the pond water. Thereby it reduces the ammonia level in the pond and improves water quality. Further, the fermented juice helps in lowering the high Application of fermented juice pH to the desired level and enhances the development of plankton food."
